"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct"
"true","fullscreen","0","8298","0.0-0.0","1920","1080","","","","","","","","","","",""
"","image-keyboard-response","1","11886","0.0-1.0","","","3580.5","images/consent.jpg","89","_10521905","consent","","","","","",""
"","jo-html-keyboard-response","2","40572","0.0-2.0","","","23679.400000095367","<p>Hi! Thank you for volunteering to help out with our study.  You will need headphones for this experiment. Please take a moment to adjust your seating so that you can comfortably watch the monitor and use the keyboard.</p><p>Close the door or do whatever is necessary to minimize disturbance during the experiment.  Please also take a moment to silence your phone so that you are not interrupted by any messages mid-experiment.</p><p>Throughout this experiment, you will see greyed out text as in the last line below.</p><p>And a quick note: This text will contain the instructions for how to move to the next page -- which will typically involve pressing the spacebar.  You will not be able to press the spacebar until after a brief period of time has elapsed.  Please use that time to read the instructions on the given page.  Once the greyed out text has turned black, and you have finished reading the instructions, you will then be able to proceed by pressing the relevant key.","32","_10521905","instruct_prompt","","","","","",""
"","jo-adjust-volume","3","119915","0.0-3.0","","","5595.299999952316","images/FULLBEAT.mp3","82","","","","","","","",""
"","jo-html-keyboard-response","4","122506","0.0-4.0","","","1581","<div style='margin: auto 0'><p>In the main experiment, you will hear a sound like this.</div>","32","_10521905","instruct_prompt","","","","","",""
"","jo-play-tone","5","123798","0.0-5.0","","","","","","_10521905","key_trial","440","250","demo","","",""
"","jo-html-keyboard-response","6","128944","0.0-6.0","","","4127.900000095367","<div style='margin: auto 0'><p>In a trial, you will then read a sentence describing a subjective opinion about these sounds.<br>Your task is to say whether you agree with this opinion.</div>","32","_10521905","instruct_prompt","","","","","",""
"","jo-html-keyboard-response","7","133570","0.0-7.0","","","3614.4000000953674","<div style='margin: auto 0'><p>Then an additional question will follow.<br>This additional question will be a <b>memory</b> question, so try to pay attention to the sounds as best as you can.</div>","32","_10521905","instruct_prompt","","","","","",""
"","jo-html-keyboard-response","8","149757","0.0-8.0","","","15170.5","<div style='margin: auto 0'><p>The questions you will see will always be a yes or no question.  To indicate your response, you must press the <b>A KEY</b> for YES, and the <b>L KEY</b> for NO.<p>You will only be given 5 seconds to answer the questions -- so please try to respond as fast as you can.<br>Place your fingers on A (for yes) and L (for no) to prepare.</div>","65","_10521905","instruct_prompt","","","","","",""
"","html-keyboard-response","9","151764","0.0-9.0","","","null","<div><span style=""font-size:2vw"">Every sound is enjoyable.</div>","null","_10521905","fixation","","","","enjoyable","",""
"","jo-play-tone","10","153036","0.0-10.0","","","","","","_10521905","key_trial","2637.02","250","right","","",""
"","jo-play-tone","11","154299","0.0-11.0","","","","","","_10521905","key_trial","1760","250","right","","",""
"","jo-play-tone","12","155562","0.0-12.0","","","","","","_10521905","key_trial","3951.07","250","right","","",""
"","html-keyboard-response","13","156475","0.0-13.0","","","910.5","<span style='font-size:2vw'>Every sound was enjoyable.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","enjoyable","0",""
"","html-keyboard-response","14","156979","0.0-14.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","15","159986","0.0-15.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","16","161251","0.0-16.0","","","","","","_10521905","key_trial","3951.07","250","right","","",""
"","html-keyboard-response","17","161350","0.0-17.0","","","97.09999990463257","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","3951.07","","right","","0","true"
"","html-keyboard-response","18","161859","0.0-18.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","19","163869","0.0-19.0","","","null","<div><span style=""font-size:2vw"">Every sound is odd.</div>","null","_10521905","fixation","","","","odd","",""
"","jo-play-tone","20","165131","0.0-20.0","","","","","","_10521905","key_trial","174.61","250","avg","","",""
"","jo-play-tone","21","166403","0.0-21.0","","","","","","_10521905","key_trial","77.78","250","avg","","",""
"","jo-play-tone","22","167675","0.0-22.0","","","","","","_10521905","key_trial","116.54","250","avg","","",""
"","html-keyboard-response","23","168693","0.0-23.0","","","1016.7999999523163","<span style='font-size:2vw'>Every sound was odd.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","odd","1",""
"","html-keyboard-response","24","169197","0.0-24.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","25","172203","0.0-25.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","26","173467","0.0-26.0","","","","","","_10521905","key_trial","122.97666666666667","250","avg","","",""
"","html-keyboard-response","27","173820","0.0-27.0","","","351.09999990463257","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_10521905","resp_trial","122.97666666666667","","avg","","1","true"
"","html-keyboard-response","28","174332","0.0-28.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","29","176348","0.0-29.0","","","null","<div><span style=""font-size:2vw"">Every sound is serene.</div>","null","_10521905","fixation","","","","serene","",""
"","jo-play-tone","30","177611","0.0-30.0","","","","","","_10521905","key_trial","1318.51","250","right","","",""
"","jo-play-tone","31","178884","0.0-31.0","","","","","","_10521905","key_trial","2959.96","250","right","","",""
